x,y,z,fx,fy,fz,time
0.1700917358,0.0286902074645,-0.039902037156,[ 0.02043431],[-0.11944439],[-0.03852124],3.986
0.17009728365,0.0287328897238,-0.0398519001169,[ 0.02056805],[-0.12054122],[-0.03900844],4.006
0.170101861948,0.0287754011836,-0.0398016538399,[ 0.02070517],[-0.12163797],[-0.03949829],4.025
0.170107409267,0.0288182478417,-0.0397511804198,[ 0.02083809],[-0.12274011],[-0.03999235],4.045
0.17011205528,0.0288607558288,-0.0397004264783,[ 0.02097385],[-0.12383962],[-0.04048916],4.068
0.170117630055,0.0289035994966,-0.0396496149366,[ 0.02110538],[-0.12494372],[-0.04098927],4.085
0.170122274438,0.0289462713368,-0.0395985252218,[ 0.02124038],[-0.12604848],[-0.04149299],4.105
0.170127876025,0.0289891119967,-0.0395473755641,[ 0.02137053],[-0.12715453],[-0.04199918],4.125
0.170132517962,0.029031947644,-0.0394959501314,[ 0.02150477],[-0.12826455],[-0.04250986],4.145
0.170137104396,0.0290749487042,-0.0394445280673,[ 0.02163896],[-0.12937801],[-0.04302348],4.165
0.170142726264,0.0291181193046,-0.0393927049548,[ 0.02176814],[-0.13049447],[-0.04354155],4.185
0.170152584712,0.0291080643293,-0.039340275885,[ 0.02174301],[-0.13056377],[-0.04379351],4.206
0.170192274986,0.0287375081155,-0.039285598105,[ 0.02066963],[-0.12354985],[-0.04218898],4.225
0.170275818992,0.027790097838,-0.0392292510476,[ 0.01791001],[-0.10535603],[-0.03739696],4.245
0.170386206596,0.0263523508296,-0.0391712883716,[ 0.01367264],[-0.07809326],[-0.02938833],4.266
0.170528483206,0.0240470456555,-0.0391137100621,[ 0.00662469],[-0.03562644],[-0.01476991],4.285
0.170649790419,0.0213375410782,-0.0390619581147,[ 0.],[ 0.],[ 0.],4.305
0.17072943217,0.0183636212949,-0.0390184213396,[ 0.],[ 0.],[ 0.],4.325
0.170756788302,0.015612726574,-0.0389809730741,[ 0.],[ 0.],[ 0.],4.345
0.170743749381,0.0131049530818,-0.03894634233,[ 0.],[ 0.],[ 0.],4.365
0.170700266146,0.0107908500007,-0.0389138974536,[ 0.],[ 0.],[ 0.],4.385
0.170632799742,0.00866108561414,-0.0388828933117,[ 0.],[ 0.],[ 0.],4.405
0.170548080912,0.00667029264332,-0.038852897927,[ 0.],[ 0.],[ 0.],4.426
0.17044335196,0.00473564438022,-0.0388241065071,[ 0.],[ 0.],[ 0.],4.446
0.170318776697,0.00283650180916,-0.0387968567131,[ 0.],[ 0.],[ 0.],4.465
0.170175757461,0.00097460910989,-0.0387742506128,[ 0.],[ 0.],[ 0.],4.485
0.170025661088,-0.000750503701918,-0.0387394532337,[ 0.],[ 0.],[ 0.],4.505
0.169969543053,-0.0018266484642,-0.0384010407898,[ 0.],[ 0.],[ 0.],4.525
0.170024239192,-0.00222215681971,-0.0377368857629,[ 0.],[ 0.],[ 0.],4.545
0.170225125292,-0.00212609702185,-0.0363563523298,[ 0.],[ 0.],[ 0.],4.566
0.17047471049,-0.00203600318175,-0.0344257754944,[ 0.],[ 0.],[ 0.],4.585
0.17074654898,-0.00195038340654,-0.0320333179695,[ 0.],[ 0.],[ 0.],4.605
0.171015813731,-0.0018698635149,-0.029250933135,[ 0.],[ 0.],[ 0.],4.625
0.17126054012,-0.00179536696082,-0.0261372321433,[ 0.],[ 0.],[ 0.],4.645
0.171446535232,-0.00174145418656,-0.0229160746703,[ 0.00697918],[ 0.0034203],[-0.0485012],4.666
0.17156644212,-0.00170047352244,-0.0197700487665,[ 0.01372536],[ 0.0067975],[-0.11014683],4.686
0.171617682915,-0.00167583813213,-0.0171003187805,[ 0.01837017],[ 0.00910188],[-0.16283683],4.705
0.171614153866,-0.00167829471673,-0.015476307071,[ 0.02099117],[ 0.01040489],[-0.195029],4.726
0.17160038311,-0.00168977599818,-0.015220848284,[ 0.02146846],[ 0.01067088],[-0.20012211],4.745
0.171611260188,-0.00169131080626,-0.0151520410647,[ 0.02150178],[ 0.01073148],[-0.20147296],4.766
0.171614950173,-0.00169656508011,-0.0150877652398,[ 0.02157443],[ 0.01081296],[-0.20274643],4.785
0.171619639459,-0.00170182954805,-0.0150227678226,[ 0.02164105],[ 0.01089511],[-0.20403296],4.805
0.17162431391,-0.00170758845572,-0.0149575984884,[ 0.02170745],[ 0.0109807],[-0.20532335],4.826
0.171627996648,-0.00171366656367,-0.0148924637832,[ 0.02177976],[ 0.01106857],[-0.2066147],4.845
0.17163267211,-0.00172024945018,-0.0148266074028,[ 0.02184602],[ 0.01116036],[-0.20791946],4.865
0.171636356969,-0.00172698660809,-0.0147607860482,[ 0.02191822],[ 0.01125341],[-0.20922505],4.886
0.171640042314,-0.00173405325486,-0.0146946215565,[ 0.02199038],[ 0.0113491],[-0.21053776],4.906
0.171643726006,-0.00174161420384,-0.0146281142916,[ 0.02206251],[ 0.01144852],[-0.21185768],4.925
0.171647409291,-0.00174950461258,-0.0145612638966,[ 0.02213461],[ 0.01155065],[-0.21318473],4.945
0.171651077229,-0.00175772446856,-0.0144942420248,[ 0.02220651],[ 0.01165537],[-0.2145155],4.967
